,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
60.0,5.39626,3.0168575000000004,3.50084,4.52985,1005.55,206.025,1121.6,10,10,10,10,10,10,10
61.0,5.396355000000001,3.0089575,3.48104,4.52657,1006.45,210.4,1128.7,10,10,10,10,10,10,10
62.0,5.396427500000001,3.0011225,3.4613300000000002,4.52339,1007.15,214.85,1137.0,10,10,10,10,10,10,10
63.0,5.3965274999999995,2.9933425,3.4416800000000003,4.52037,1007.65,219.2625,1143.7,10,10,10,10,10,10,10
64.0,5.3966425,2.985625,3.4220800000000002,4.51749,1008.35,222.775,1151.0,10,10,10,10,10,10,10
65.0,5.396775000000001,2.9779574999999996,3.4025799999999995,4.5146999999999995,1008.95,226.825,1157.3,10,10,10,10,10,10,10
66.0,5.396904999999999,2.970355,3.38313,4.51203,1009.65,230.6,1163.6,10,10,10,10,10,10,10
67.0,5.397055,2.9628075000000003,3.3637300000000003,4.50948,1010.25,234.05,1169.1,10,10,10,10,10,10,10
68.0,5.3972125,2.9553125,3.3443899999999998,4.50709,1011.75,237.6,1176.0,10,10,10,10,10,10,10
69.0,5.397382500000001,2.947865,3.32513,4.50475,1012.65,241.425,1182.0,10,10,10,10,10,10,10
70.0,5.397577500000001,2.9404825000000003,3.3059200000000004,4.502550000000001,1013.75,245.35,1187.75,10,10,10,10,10,10,10
71.0,5.3977675000000005,2.9331400000000003,3.2867699999999997,4.50047,1014.45,249.1,1192.2,10,10,10,10,10,10,10
72.0,5.397975,2.92585,3.2676900000000004,4.498469999999999,1015.15,252.7,1196.7,10,10,10,10,10,10,10
73.0,5.398210000000001,2.9186175,3.24866,4.49658,1016.25,256.125,1200.8,10,10,10,10,10,10,10
74.0,5.398445,2.9114125,3.2296799999999997,4.49478,1016.95,259.65,1204.6,10,10,10,10,10,10,10
75.0,5.398687499999999,2.9042625,3.2107599999999996,4.493119999999999,1017.95,262.8,1208.5,10,10,10,10,10,10,10
76.0,5.398955,2.8971675,3.19187,4.49152,1019.05,266.0125,1212.0,10,10,10,10,10,10,10
77.0,5.399227499999999,2.890119999999999,3.17308,4.4900199999999995,1019.95,269.525,1215.3,10,10,10,10,10,10,10
78.0,5.3995125,2.8831,3.15432,4.48863,1020.95,272.775,1219.3,10,10,10,10,10,10,10
79.0,5.399804999999999,2.876155,3.13564,4.48731,1022.25,275.6,1222.8,10,10,10,10,10,10,10
