,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
83,5.443965,2.1757999999999997,2.9974300000000005,4.37002,13195.7,73.1,1600.0,10,10,10,10,10,10,10
84,5.44427,2.1713025,2.97795,4.36486,13202.5,73.7,1606.2,10,10,10,10,10,10,10
85,5.444582500000001,2.1668350000000003,2.95851,4.35976,13211.5,74.425,1613.6,10,10,10,10,10,10,10
86,5.44489,2.1624200000000005,2.93916,4.354749999999999,13218.9,75.05,1620.9,10,10,10,10,10,10,10
87,5.445205,2.1580124999999994,2.9198600000000003,4.3498,13224.6,75.625,1630.0,10,10,10,10,10,10,10
88,5.445524999999999,2.153665,2.90063,4.34495,13231.1,76.125,1640.3,10,10,10,10,10,10,10
89,5.445855,2.149335,2.88148,4.34017,13237.3,76.7,1648.9,10,10,10,10,10,10,10
90,5.44618,2.1450475000000004,2.8623799999999995,4.33545,13246.3,77.05,1659.5,10,10,10,10,10,10,10
91,5.4465325,2.14079,2.8433599999999997,4.33081,13256.3,77.525,1670.3,10,10,10,10,10,10,10
92,5.4468725,2.1365674999999995,2.8244,4.32624,13268.1,78.075,1680.4,10,10,10,10,10,10,10
93,5.447217499999999,2.132375,2.8055299999999996,4.3217300000000005,13280.3,78.75,1689.7,10,10,10,10,10,10,10
94,5.4475575,2.1282075000000003,2.78675,4.317310000000001,13291.3,79.375,1698.4,10,10,10,10,10,10,10
95,5.4479225,2.1240775000000003,2.76801,4.3129599999999995,13298.6,80.05,1706.6,10,10,10,10,10,10,10
96,5.448275000000001,2.1199825,2.74935,4.308680000000001,13303.9,80.8,1714.6,10,10,10,10,10,10,10
97,5.4486425,2.1159074999999996,2.7307600000000005,4.30448,13308.4,81.175,1722.0,10,10,10,10,10,10,10
98,5.4490125,2.1118675000000002,2.71225,4.30034,13312.8,81.875,1728.7,10,10,10,10,10,10,10
99,5.44938,2.1078424999999994,2.69381,4.29628,13316.0,82.475,1736.9,10,10,10,10,10,10,10
100,5.449750000000001,2.10386,2.67547,4.29227,13320.2,83.075,1742.1,10,10,10,10,10,10,10
101,5.450139999999999,2.0999050000000006,2.6571700000000003,4.288349999999999,13324.5,83.7,1749.1,10,10,10,10,10,10,10
102,5.450519999999999,2.0959775,2.63896,4.2844999999999995,13327.1,84.15,1757.0,10,10,10,10,10,10,10
103,5.4509025,2.0920674999999997,2.6208699999999996,4.280710000000001,13331.4,84.625,1765.0,10,10,10,10,10,10,10
104,5.451295,2.088185,2.60283,4.27699,13334.3,85.15,1773.0,10,10,10,10,10,10,10
105,5.4516925,2.08434,2.58484,4.27333,13338.0,85.65,1780.5,10,10,10,10,10,10,10
106,5.452092500000001,2.0805124999999998,2.56698,4.26977,13340.1,86.0,1790.0,10,10,10,10,10,10,10
107,5.452485000000001,2.076725,2.54917,4.26622,13342.6,86.325,1798.5,10,10,10,10,10,10,10
108,5.4529,2.07294,2.5314500000000004,4.262790000000001,13344.4,86.85,1808.6,10,10,10,10,10,10,10
109,5.453317500000001,2.0691874999999995,2.51382,4.259410000000001,13347.0,87.225,1816.5,10,10,10,10,10,10,10
110,5.453725,2.06545,2.49627,4.25611,13349.4,87.575,1826.9,10,10,10,10,10,10,10
111,5.454142500000001,2.061755,2.47879,4.25285,13351.2,87.925,1837.7,10,10,10,10,10,10,10
112,5.45457,2.0580674999999995,2.46141,4.24967,13353.2,88.65,1849.8,10,10,10,10,10,10,10
113,5.455,2.05441,2.44412,4.246569999999999,13355.2,89.1,1865.0,10,10,10,10,10,10,10
114,5.455425,2.0507775,2.42691,4.24352,13357.3,89.55,1879.85,10,10,10,10,10,10,10
115,5.4558525,2.047165,2.4097899999999997,4.240539999999998,13360.3,89.975,1893.8,10,10,10,10,10,10,10
116,5.456297500000001,2.0435800000000004,2.3927300000000002,4.237640000000001,13362.2,90.3,1909.3,10,10,10,10,10,10,10
117,5.45674,2.0400099999999997,2.37579,4.23479,13364.4,90.775,1923.3,10,10,10,10,10,10,10
118,5.457179999999999,2.0364725,2.3589400000000005,4.23201,13366.8,91.3,1938.5,10,10,10,10,10,10,10
119,5.457627500000001,2.0329425,2.3421599999999994,4.229289999999999,13368.6,91.65,1951.9,10,10,10,10,10,10,10
120,5.4580775,2.0294399999999997,2.3254799999999998,4.226640000000001,13370.0,91.9,1965.4,10,10,10,10,10,10,10
121,5.4585325,2.025955,2.30892,4.22404,13371.1,92.175,1980.2,10,10,10,10,10,10,10
122,5.458990000000001,2.022485,2.2923999999999998,4.22151,13372.3,92.65,1993.5,10,10,10,10,10,10,10
123,5.4594525,2.0190449999999998,2.2759899999999997,4.21905,13373.6,93.025,2003.9,10,10,10,10,10,10,10
124,5.459922499999999,2.0156175000000003,2.25969,4.21667,13374.6,93.25,2014.1,10,10,10,10,10,10,10
125,5.4603925,2.01222,2.2434899999999995,4.21434,13376.0,93.475,2024.7,10,10,10,10,10,10,10
126,5.4608575,2.0088250000000003,2.2273699999999996,4.212090000000001,13377.7,93.95,2032.6,10,10,10,10,10,10,10
127,5.461334999999998,2.0054675,2.21136,4.2098700000000004,13379.3,94.325,2040.8,10,10,10,10,10,10,10
128,5.461810000000001,2.00213,2.19542,4.20772,13381.3,94.6,2048.2,10,10,10,10,10,10,10
129,5.462292500000001,1.9987925,2.1795899999999997,4.20566,13382.9,94.875,2055.0,10,10,10,10,10,10,10
130,5.462787499999999,1.9954825,2.16384,4.203639999999998,13384.7,94.975,2061.2,10,10,10,10,10,10,10
131,5.46327,1.9921975000000003,2.1482,4.20167,13386.8,95.35,2066.4,10,10,10,10,10,10,10
132,5.463769999999999,1.9889225,2.13268,4.1998,13388.3,95.7,2071.1,10,10,10,10,10,10,10
133,5.464265,1.9856625,2.1172400000000002,4.197979999999999,13389.7,96.025,2075.8,10,10,10,10,10,10,10
134,5.464765,1.9824274999999996,2.1018800000000004,4.19622,13392.5,96.2,2079.3,10,10,10,10,10,10,10
135,5.4652675,1.9792050000000003,2.08664,4.194510000000001,13395.4,96.6,2083.0,10,10,10,10,10,10,10
136,5.465764999999999,1.9759925000000003,2.07148,4.19285,13397.8,96.85,2086.1,10,10,10,10,10,10,10
137,5.466284999999999,1.9728099999999997,2.0564600000000004,4.19127,13400.1,97.15,2089.2,10,10,10,10,10,10,10
138,5.466795,1.9696325,2.04148,4.18976,13401.9,97.425,2092.6,10,10,10,10,10,10,10
139,5.467315,1.96647,2.0266399999999996,4.1883,13405.0,97.75,2095.3,10,10,10,10,10,10,10
140,5.467835,1.9633399999999999,2.0119000000000002,4.186909999999999,13408.5,98.1,2097.5,10,10,10,10,10,10,10
141,5.468349999999999,1.9602149999999998,1.99726,4.18558,13409.6,98.275,2100.4,10,10,10,10,10,10,10
142,5.4688775,1.9571025000000002,1.9826899999999998,4.184270000000001,13411.7,98.475,2103.85,10,10,10,10,10,10,10
143,5.469410000000001,1.9540125,1.9682599999999997,4.18305,13413.3,98.725,2106.5,10,10,10,10,10,10,10
144,5.469947499999999,1.9509249999999998,1.9538800000000003,4.181900000000001,13415.2,98.85,2110.8,10,10,10,10,10,10,10
145,5.4704675,1.94787,1.93963,4.18081,13417.0,99.075,2113.9,10,10,10,10,10,10,10
146,5.4710275,1.94482,1.9254799999999999,4.17974,13418.4,99.3,2117.3,10,10,10,10,10,10,10
147,5.471559999999999,1.9417925,1.91144,4.17877,13420.3,99.55,2120.9,10,10,10,10,10,10,10
148,5.47211,1.9387675000000002,1.8974800000000003,4.177840000000001,13422.0,99.65,2125.0,10,10,10,10,10,10,10
149,5.472659999999999,1.9357575000000005,1.88362,4.17698,13424.0,99.875,2129.75,10,10,10,10,10,10,10
150,5.4732075,1.932775,1.8698600000000003,4.17616,13426.3,100.075,2135.6,10,10,10,10,10,10,10
151,5.473772499999999,1.9297900000000001,1.85623,4.1754,13427.7,100.4,2142.2,10,10,10,10,10,10,10
