,mean,mean,mean,mean,count,count,count,count
,random_r,random_r1,sr1o,sro,random_r,random_r1,sr1o,sro
72,4.823199999999999,2.826653,3.2502500000000003,4.4932,10,10,10,10
73,4.823333,2.819953,3.2307200000000003,4.491390000000001,10,10,10,10
74,4.823485,2.813301,3.2112199999999995,4.48971,10,10,10,10
75,4.823644,2.806686,3.19177,4.48812,10,10,10,10
76,4.823824,2.8001090000000004,3.17237,4.48663,10,10,10,10
77,4.824016,2.793575,3.1530099999999996,4.485259999999999,10,10,10,10
78,4.824232,2.7870820000000003,3.1337099999999998,4.48396,10,10,10,10
79,4.824453,2.780625,3.11443,4.48276,10,10,10,10
80,4.8247,2.7742,3.09523,4.48165,10,10,10,10
81,4.8249520000000015,2.767818,3.07604,4.48061,10,10,10,10
82,4.825227,2.761465,3.0569200000000003,4.479709999999999,10,10,10,10
83,4.825507,2.755158,3.03785,4.47884,10,10,10,10
84,4.825815,2.7488859999999997,3.01882,4.47809,10,10,10,10
85,4.826131999999999,2.742634999999999,2.9998499999999995,4.47742,10,10,10,10
86,4.8264640000000005,2.7364230000000003,2.9809,4.47682,10,10,10,10
87,4.826812000000001,2.730252,2.96203,4.47631,10,10,10,10
88,4.827177,2.7241049999999998,2.9431900000000004,4.475890000000001,10,10,10,10
89,4.827562,2.7179919999999997,2.9244099999999995,4.47555,10,10,10,10
90,4.827952,2.711907,2.9056899999999994,4.47527,10,10,10,10
91,4.828358,2.705855,2.88699,4.47507,10,10,10,10
92,4.828792999999999,2.699839,2.8683799999999997,4.474950000000001,10,10,10,10
93,4.829229,2.6938530000000003,2.8497999999999997,4.4749,10,10,10,10
94,4.829687,2.6878909999999996,2.8313099999999998,4.47496,10,10,10,10
95,4.830156,2.681954,2.8128400000000005,4.475040000000001,10,10,10,10
96,4.830645,2.676049,2.7944299999999997,4.47523,10,10,10,10
97,4.831144,2.6701740000000003,2.7760999999999996,4.47547,10,10,10,10
98,4.8316609999999995,2.6643220000000003,2.7578199999999997,4.475789999999999,10,10,10,10
99,4.832198,2.6584980000000002,2.7396,4.476170000000001,10,10,10,10
