,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmscore,zrandom_rank,zrank,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,
12,5.334545500000001,2.406372,2.4396190000000004,4.8156589999999975,4.946206,4.657126,0.7406193530559539,9.5825,1672.68,100,100,100,100,100,100,100,100,100
13,5.33465875,2.3907455,2.4242115,4.787652,4.928381999999999,4.629755999999998,0.7406193530559539,11.2775,1685.94,100,100,100,100,100,100,100,100,100
14,5.334800249999998,2.375708999999999,2.409379,4.760619999999999,4.911360999999998,4.603341000000001,0.7406193530559539,13.0225,1698.58,100,100,100,100,100,100,100,100,100
15,5.3349660000000005,2.3612010000000003,2.3950567499999997,4.734454,4.895055,4.577786000000001,0.7406193530559539,14.6425,1710.42,100,100,100,100,100,100,100,100,100
16,5.335148750000002,2.3471715,2.3812017500000007,4.7090819999999995,4.879417999999999,4.553007000000003,0.7406193530559539,16.29,1720.78,100,100,100,100,100,100,100,100,100
17,5.335359500000001,2.3335740000000005,2.3677705000000002,4.684415,4.8643849999999995,4.528926,0.7406193530559539,17.96625,1730.315,100,100,100,100,100,100,100,100,100
18,5.33558225,2.3203784999999995,2.3547234999999995,4.660400999999999,4.849914999999999,4.5054810000000005,0.7406193530559539,19.68,1738.98,100,100,100,100,100,100,100,100,100
19,5.335830500000001,2.3075467499999998,2.342035499999999,4.6369869999999995,4.835950000000001,4.482629,0.7406193530559539,21.50125,1745.8,100,100,100,100,100,100,100,100,100
20,5.336095750000001,2.2950527500000004,2.3296724999999996,4.614114,4.822473,4.4603090000000005,0.7406193530559539,23.0875,1751.76,100,100,100,100,100,100,100,100,100
21,5.3363802499999995,2.2828695000000003,2.3176182500000007,4.591749000000004,4.809442000000001,4.438486999999999,0.7406193530559539,24.715,1757.83,100,100,100,100,100,100,100,100,100
22,5.336680250000001,2.2709730000000006,2.305844999999999,4.5698560000000015,4.796827000000002,4.417124000000002,0.7406193530559539,26.3325,1763.38,100,100,100,100,100,100,100,100,100
23,5.336993000000002,2.2593535000000005,2.29433825,4.548390000000001,4.78461,4.396190000000001,0.7406193530559539,27.97375,1768.48,100,100,100,100,100,100,100,100,100
24,5.337327250000002,2.2479830000000014,2.283079749999999,4.527326999999999,4.7727619999999975,4.375648000000001,0.7406193530559539,29.7475,1773.24,100,100,100,100,100,100,100,100,100
25,5.337673749999999,2.2368457499999996,2.27204875,4.5066450000000025,4.761260000000001,4.355478,0.7406193530559539,31.3675,1777.47,100,100,100,100,100,100,100,100,100
26,5.338033749999999,2.2259372499999994,2.2612407500000002,4.4863159999999995,4.750088000000002,4.335653000000001,0.7406193530559539,32.99375,1781.68,100,100,100,100,100,100,100,100,100
27,5.33841125,2.2152319999999985,2.2506352500000006,4.466304000000001,4.739230000000003,4.31615,0.7406193530559539,34.57625,1785.57,100,100,100,100,100,100,100,100,100
28,5.338799500000001,2.2047234999999996,2.2402225000000002,4.446606999999998,4.728673,4.296944999999999,0.7406193530559539,36.29375,1789.22,100,100,100,100,100,100,100,100,100
29,5.33920575,2.19440275,2.2299949999999997,4.427198999999999,4.718394000000002,4.278032,0.7406193530559539,37.97125,1792.42,100,100,100,100,100,100,100,100,100
30,5.339623250000002,2.1842569999999992,2.219938000000001,4.408060000000001,4.708384000000001,4.259378999999998,0.7406193530559539,39.735,1795.58,100,100,100,100,100,100,100,100,100
31,5.340048749999999,2.1742752500000004,2.2100437500000005,4.389177,4.6986310000000024,4.240976,0.7406193530559539,41.41625,1798.88,100,100,100,100,100,100,100,100,100
32,5.340490750000002,2.164456750000001,2.2003047500000004,4.370534,4.6891250000000015,4.222812999999999,0.7406193530559539,43.2125,1801.77,100,100,100,100,100,100,100,100,100
33,5.3409465,2.1547869999999993,2.1907137500000005,4.352128,4.679861999999999,4.204868000000001,0.7406193530559539,45.02125,1804.46,100,100,100,100,100,100,100,100,100
34,5.341411999999999,2.14525875,2.1812607500000007,4.333924000000001,4.670827000000001,4.187138,0.7406193530559539,46.78375,1806.96,100,100,100,100,100,100,100,100,100
35,5.341891749999999,2.1358692500000003,2.1719409999999995,4.315921000000001,4.662004000000001,4.169604,0.7406193530559539,48.6775,1809.19,100,100,100,100,100,100,100,100,100
36,5.342378000000001,2.1266035,2.1627507499999994,4.298118999999999,4.653390000000002,4.152251,0.7406193530559539,50.4375,1811.72,100,100,100,100,100,100,100,100,100
37,5.34287975,2.117467,2.153683250000001,4.280495000000002,4.644995,4.135076999999999,0.7406193530559539,52.3075,1813.82,100,100,100,100,100,100,100,100,100
38,5.3433865,2.1084509999999996,2.1447297499999998,4.263045,4.636781000000002,4.118076999999999,0.7406193530559539,54.2525,1815.71,100,100,100,100,100,100,100,100,100
39,5.343909000000002,2.0995429999999997,2.1358889999999997,4.2457519999999995,4.628766999999999,4.101235,0.7406193530559539,56.1875,1817.6,100,100,100,100,100,100,100,100,100
40,5.344440750000001,2.090747749999999,2.1271510000000005,4.2286090000000005,4.620934,4.084525,0.7406193530559539,58.0975,1819.73,100,100,100,100,100,100,100,100,100
41,5.344979249999999,2.0820524999999996,2.118517249999999,4.211625999999999,4.613275000000001,4.0679680000000005,0.7406193530559539,59.865,1821.695,100,100,100,100,100,100,100,100,100
42,5.3455319999999995,2.07345825,2.1099769999999993,4.194768,4.605788,4.051544,0.7406193530559539,61.6875,1823.46,100,100,100,100,100,100,100,100,100
43,5.346095749999998,2.064958,2.1015360000000003,4.178043999999999,4.598472000000002,4.035246999999999,0.7406193530559539,63.4375,1825.55,100,100,100,100,100,100,100,100,100
44,5.346666750000001,2.0565529999999996,2.093181000000001,4.1614460000000015,4.591316000000003,4.019065000000001,0.7406193530559539,65.17,1827.71,100,100,100,100,100,100,100,100,100
