,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,random_r,random_r1,random_r2,sr1u,sro,ur2o
44,8.499581,0.027132,0.20815999999999996,2.88258,6.80841,3.8666600000000004,10,10,10,10,10,10
45,8.500770999999999,0.026953000000000005,0.20661100000000002,2.82689,6.795869999999999,3.79583,10,10,10,10,10,10
46,8.501997000000001,0.026772999999999998,0.20508200000000004,2.77357,6.78429,3.7275400000000003,10,10,10,10,10,10
47,8.503254,0.026597000000000003,0.203581,2.72248,6.77358,3.6617399999999996,10,10,10,10,10,10
48,8.504555999999997,0.02642,0.20209200000000002,2.6735400000000005,6.76373,3.59831,10,10,10,10,10,10
49,8.505883999999998,0.026256999999999996,0.20063199999999998,2.6266399999999996,6.754659999999999,3.5371499999999996,10,10,10,10,10,10
50,8.507252,0.026090000000000002,0.199195,2.5816500000000002,6.746370000000001,3.4781699999999995,10,10,10,10,10,10
51,8.508655000000001,0.025933,0.19777099999999997,2.5384800000000003,6.7387500000000005,3.4213199999999993,10,10,10,10,10,10
52,8.510082,0.025772,0.19636799999999996,2.4970299999999996,6.7318,3.36646,10,10,10,10,10,10
53,8.51155,0.025615,0.19498200000000002,2.4572100000000003,6.725499999999999,3.31356,10,10,10,10,10,10
54,8.513041,0.025464000000000004,0.193618,2.4189,6.719759999999999,3.2625,10,10,10,10,10,10
55,8.514568999999998,0.025312,0.19226800000000002,2.3820799999999998,6.714540000000001,3.21318,10,10,10,10,10,10
56,8.516115000000001,0.025168999999999997,0.19093,2.34663,6.70984,3.165549999999999,10,10,10,10,10,10
57,8.5177,0.025026,0.189614,2.3124700000000002,6.705630000000001,3.11951,10,10,10,10,10,10
58,8.519303999999998,0.024881,0.188307,2.2795300000000003,6.701829999999999,3.0749899999999997,10,10,10,10,10,10
59,8.520938,0.024739,0.18702100000000002,2.24778,6.69843,3.0318999999999994,10,10,10,10,10,10
60,8.522589,0.024602,0.185749,2.2171,6.695400000000001,2.9902100000000003,10,10,10,10,10,10
61,8.524275,0.024468999999999998,0.18447799999999998,2.18747,6.69273,2.94983,10,10,10,10,10,10
62,8.525982,0.02433,0.18323099999999998,2.15881,6.6903999999999995,2.9106899999999998,10,10,10,10,10,10
63,8.527724000000003,0.024193999999999997,0.18198899999999998,2.1311100000000005,6.688370000000001,2.87273,10,10,10,10,10,10
64,8.529486,0.024058999999999997,0.180759,2.10427,6.68665,2.835940000000001,10,10,10,10,10,10
65,8.531272999999999,0.023931,0.17953000000000002,2.07826,6.685169999999999,2.80021,10,10,10,10,10,10
66,8.533097999999999,0.023797000000000002,0.178315,2.0530599999999994,6.68398,2.76551,10,10,10,10,10,10
67,8.534952,0.023667,0.177108,2.0286,6.68304,2.7317799999999997,10,10,10,10,10,10
68,8.536832,0.023536999999999995,0.175908,2.00486,6.6823,2.6990000000000003,10,10,10,10,10,10
69,8.538744,0.023406000000000003,0.174722,1.9818200000000001,6.68183,2.6671,10,10,10,10,10,10
70,8.540685,0.023275999999999998,0.17354800000000004,1.9594200000000002,6.68153,2.63608,10,10,10,10,10,10
71,8.542645,0.023150999999999998,0.172371,1.9375999999999998,6.681439999999999,2.60586,10,10,10,10,10,10
72,8.544637999999999,0.023017,0.17121099999999997,1.9164,6.6815,2.57639,10,10,10,10,10,10
73,8.546657,0.022891,0.17005599999999998,1.8957299999999997,6.68177,2.54769,10,10,10,10,10,10
74,8.548701000000003,0.022768,0.16891099999999998,1.8756200000000003,6.682170000000001,2.51969,10,10,10,10,10,10
75,8.550767,0.022637,0.16777599999999998,1.85601,6.682729999999999,2.4923599999999997,10,10,10,10,10,10
76,8.552854,0.022511999999999997,0.16665,1.8368800000000003,6.68344,2.46568,10,10,10,10,10,10
77,8.554974999999999,0.022382000000000003,0.16553100000000004,1.8182099999999999,6.684279999999999,2.43964,10,10,10,10,10,10
78,8.557124,0.022260999999999996,0.16442400000000001,1.79997,6.685230000000002,2.41416,10,10,10,10,10,10
79,8.55929,0.022134,0.163324,1.78214,6.68632,2.3892900000000004,10,10,10,10,10,10
